词牌,数量
阳关曲,3
双荷叶・忆秦娥,1
皂罗特髻,1
调笑令,22
荷华媚,1
青玉案,137
占春芳,1
祝英台近,70
雨中花慢,14
渔父・渔歌子,13
醉翁操,5
瑶池燕,1
水调歌・水调,15
谢池春,5
怨三三,2
春光好,14
天门谣,2
惜黄花,6
无愁可解,1
调啸・调笑令,2
散天花,1
醉花阴,34
木兰花,3
虞神歌,1
极相思令・极相思,2
绛都春,20
夏初临,5
新荷叶,17
小重山,109
宴桃源・如梦令,19
醉春风,6
白雪,2
上林春・一落萦,5
秋霁,9
宝鼎现,17
秦楼月・忆秦娥,40
江楼令,1
七娘子,12
渔父词・渔父,60
瑞鹤仙,119
摊破丑奴儿・采桑子,4
韵令,1
折丹桂,7
酹江月・念奴娇,103
南柯子・南歌子,51
忆少年,7
石州引・石州慢,3
杏花天,43
风流子,48
解连环,26
相见欢,16
杨柳枝,8
眼儿媚,88
燕归来・喜迁莺,2
苍梧谣・归字谣,4
柳梢青,188
拾翠羽,1
夜游宫,26
锦园春,1
百字令・念奴娇,13
一翦梅,49
摊破浣溪沙・山花子,15
垂丝钓,11
隔浦莲・隔浦莲近拍,12
过秦楼,12
侧犯,8
塞翁吟,12
华胥引,9
宴清都,22
四园竹,4
齐天乐,96
蕙兰芳・蕙兰芳引,2
丁香结,5
氐州第一,8
解蹀躞,7
庆春宫・高阳台,10
伤情怨・清商怨,4
红林擒近,9
解语花,12
倒犯,5
大,9
玉烛新,9
花犯,11
六丑,7
兰陵王,33
西河,15
贺新凉・贺新郎,26
鱼游春水,8
上西平・金人捧露盘,5
宴琼林,4
宴春台,3
瑶池月・瑶台月,2
倦寻芳慢・倦寻芳,1
选冠子,11
转调丑奴儿・采桑子,1
绣带子・好女儿,1
拨棹子,2
调笑歌・调笑令,1
步蟾宫,20
惜馀欢・惜余欢,1
逍遥乐,1
归田乐引・归田乐,2
归田乐令・归田乐,1
鼓笛令,5
少年心,2
喝火令,1
雪花飞,1
下水船,4
望江东,1
捣练子,26
减字浣溪沙・浣溪沙,15
相思引,14
献金杯・厌金杯,1
思越人・朝天子,5
望湘人,1
小梅花・梅花引,1
乌啼月・乌夜啼,1
簇水近,1
画眉郎・好女儿,1
试周郎・诉衷情,1
新念别・夜游宫,1
瑶台第一层,7
南徐好,10
楚宫春慢,1
宣州竹・虞美人,1
双翠羽,1
醉桃园・桃源忆故人,1
小冲山・小重山,2
三字令,1
桂殿秋,6
梅花引,11
楼上曲,2
豆叶黄・忆王孙,13
十月桃,5
陇头泉・多丽,1
渔父家风・诉衷情令,1
彩鸾归令,1
西楼月・春晓曲,1
长相思令・长相思,7
洞庭春色・沁园春,9
声声慢,71
婆罗门引,17
千年调,3
摸鱼子,9
南楼令・唐多令,13
壶中天・念奴娇,32
台城路・齐天乐,18
瑶台聚八仙・新雁过妆楼,7
甘州・八声甘州,17
月下笛,6
惜红衣,4
红情・暗香,1
绿意・疏影,1
夜飞鹊・夜飞鹊慢,8
石州慢,6
新雁过妆楼,4
忆王孙,30
一枝春,4
飞龙宴,1
醉亭楼,1
应景乐,1
梧桐影,1
清平乐令・清平乐,1
烛影摇红,47
惜奴娇,28
白苎,3
千金意,1
玉交枝・忆秦娥,5
