词人,诗词数量
花仲胤,1
花仲胤妻,2
刘浚,1
施酒监,1
乐婉,1
虞某,1
巴谈,1
杨师纯,2
杨端臣,3
聂胜琼,2
赵才卿,1
任,1
都下妓,1
陈与义,18
杜大中妾,1
刘彤,1
僧儿,1
胡仔,2
王昂,1
谢明远,2
张焘,2
姚述尧1,1
董颖,12
潘良贵,1
董德元,1
冯时行,13
朱松,1
朱翌,3
陈康伯,2
欧阳澈,7
曾惇,1
张表臣,2
吴亿,2
刘袤,1
李鼐,10
杨无咎,177
俞处,1
岳飞,3
邵缉,1
吴芾,1
孙道绚,8
何蓑衣道人,1
陆凝之,3
史浩,182
仲并,35
赵构,15
崔若砺,1
高登,12
闻人武子,1
关注,3
李石,39
康与之,43
曾觌,104
黄公度,15
黄童,1
倪偁,33
王之望,26
葛立方,39
魏杞,2
陈知柔,1
王识,1
许庭,5
邵某,1
陈祖安,1
王十朋,20
刘大辨,1
吴淑姬2,1
程先,1
朱耆寿,1
石安民,1
刘镇1,2
魏掞之,1
曾协,14
郑庶,1
曾逮,1
王炎1,2
毛并,42
洪适,134
韩元吉,82
黄宰,1
朱淑真,25
张抡,122
侯置,96
赵彦端,158
王千秋,73
李吕,18
陈从古,1
姚宽,5
刘珙,1
黄格,1
汤思退,1
张仲宇,1
李流谦,25
洪迈,6
赵缩手,1
张风子,1
张珍奴,1
洪惠英,1
何作善,1
刘之翰,1
周某,1
太学诸生,1
仪珏,1
袁去华,99
朱雍,20
晁公武,1
林仰,1
邵伯雍,1
黄中辅,2
郑闻,1
曹冠,63
葛郯,30
姚述尧2,69
石敦夫,1
甄龙友,4
范端臣,2
韦能谦,1
耿时举,4
管鉴,68
吴儆,29
陆游,145
唐婉,1
陆游妾某氏,1
贾逸祖,1
蜀妓,1
姜特立,21
周必大,17
周辉,2
沈瀛,90
杨万里,8
某教授,1
陈居仁,1
李洪,11
李漳,6
李泳,3
李洤,2
李淛,3
朱熹,19
黄铢,3
高宣教,1
严蕊,3
晦庵,1
徐逸,1
沈端节,45
韩仙姑,1
周颉,1
王彭年,1
李伯虎,1
丘崈,81
朱晞颜,1
吕胜己,92
唐致政,1
楼锷,1
林外,1
梁安世,1
黄岩叟,1
富ノ,1
邵怀英,1
赵长卿,339
罗愿,2
楼钥,4
张良臣,3
舒邦佐,1
张孝忠,8
方有开,2
许及之,1
傅大询,5
刘德秀,1
