词语,词频
东风,1331
人间,1125
风流,820
归来,779
西风,771
春风,767
归去,721
梅花,717
江南,714
相思,686
阑干,633
回首,632
千里,612
明月,564
黄昏,552
万里,535
当年,526
芳草,518
相逢,517
天涯,502
依旧,477
风雨,464
尊前,462
斜阳,443
一笑,443
多情,436
风月,434
一枝,431
无人,426
故人,415
深处,408
凄凉,403
平生,393
春色,392
时节,391
不见,388
无限,384
流水,366
一点,365
功名,360
憔悴,349
消息,349
扁舟,338
神仙,336
何事,336
西湖,331
黄花,327
杨柳,326
芙蓉,325
东君,324
鸳鸯,322
心事,316
桃李,311
今夜,311
而今,310
断肠,308
长安,307
去年,307
佳人,306
一声,302
昨夜,301
寂寞,301
人生,300
桃花,296
悠悠,291
往事,291
无情,289
惟有,289
笙歌,288
天气,286
天上,285
燕子,282
无数,280
肠断,280
一曲,279
清明,277
蓬莱,276
青山,276
少年,272
明年,272
行人,267
思量,267
一番,266
海棠,266
精神,265
千古,263
梨花,262
分付,258
如许,257
垂杨,255
富贵,255
何人,254
帘幕,253
明朝,253
缥缈,251
秋风,250
不须,245
记得,245
酒醒,245
有人,245
江山,245
殷勤,237
今朝,237
十里,236
携手,236
庭院,234
十年,234
风光,233
今宵,233
依然,232
乾坤,229
夜来,228
夕阳,227
落花,225
分明,222
旧时,220
自有,220
歌舞,220
珠帘,219
只恐,218
盈盈,217
不堪,217
一夜,216
等闲,215
相见,215
几许,215
无奈,215
可怜,215
秋千,213
寒食,213
重阳,210
烟雨,209
萧萧,207
从今,207
黄金,207
徘徊,205
明日,204
谁家,203
门外,203
行云,202
文章,202
楼台,201
长生,200
夜深,199
赢得,197
花枝,197
年少,196
春光,196
瑶池,195
登临,195
清香,195
惆怅,194
试问,194
纷纷,193
飞絮,193
不到,193
芳菲,193
归路,191
十二,189
楼上,186
池塘,186
胭脂,186
一年,186
暗香,185
年华,185
无处,185
清风,184
白发,184
风吹,183
世间,182
蟠桃,180
红尘,180
枝头,179
芳心,178
无言,178
青青,177
重重,177
碧云,177
一杯,176
飞来,176
风露,176
春寒,176
那堪,175
把酒,174
歌声,174
杏花,173
参差,173
无穷,173
何如,173
潇洒,172
深院,171
万事,171
老子,171
老去,169
画堂,168
不用,168
何日,167
暮云,167
秋色,166
园林,166
扬州,166
烟水,165
闲愁,164
离愁,163
深深,162
使君,162
付与,162
不禁,161
花影,161
中秋,161
情怀,160
满地,158
主人,157
琵琶,157
南北,156
当日,156
疏影,155
厌厌,155
瑶台,155
何似,155
光阴,154
薰风,154
落日,153
东篱,153
日日,153
情绪,152
南浦,152
小楼,152
来时,152
春意,152
笑语,152
细雨,152
英雄,152
江湖,152
朱颜,151
高楼,151
行乐,150
绿阴,149
梦回,149
婵娟,149
佳期,149
一尊,149
依依,148
潇湘,148
天地,148
灯火,148
画楼,148
飘零,148
百年,148
风味,148
无力,147
唤起,147
西楼,147
何许,147
此际,146
怅望,146
数声,146
千载,145
新妆,145
江头,145
阳关,144
真个,144
归期,144
别离,144
依约,143
霓裳,143
谈笑,143
杨花,143
秋水,143
三千,141
飞去,141
千岁,141
点点,141
千年,141
今夕,140
飞花,139
留连,138
回头,138
华发,138
特地,137
人物,137
几回,136
花前,136
应是,135
迢迢,135
漠漠,135
山中,135
隐隐,134
无心,134
脉脉,134
目断,134
远山,134
满眼,134
牡丹,134
旧游,133
何曾,133
小窗,133
君王,133
可惜,132
天然,132
渺渺,131
太平,131
梦里,131
梧桐,131
看取,131
刘郎,131
故园,131
零落,130
长亭,129
从容,129
南山,129
冉冉,129
水边,129
乐事,129
万顷,129
银河,128
闻道,128
烟波,127
春来,127
旧日,127
新月,127
日暮,126
几多,126
怀抱,126
横斜,126
南枝,126
天际,125
丹青,125
清歌,125
一叶,125
青春,125
月华,124
西园,124
冷落,123
心情,122
何在,122
三月,122
白云,122
此情,121
醉里,121
院落,121
浮云,121
渊明,121
欢声,120
日月,120
梦魂,120
咫尺,120
茫茫,120
枝上,120
别来,119
独倚,119
新声,119
不道,119
微雨,118
望断,117
岁晚,117
春梦,116
重来,116
秋声,116
窈窕,116
独立,115
无端,115
新词,115
难忘,115
古今,115
荷花,115
新愁,115
一醉,115
无语,114
人世,113
草草,113
今古,113
幽香,113
玉壶,112
醉乡,112
称觞,112
玲珑,112
残红,112
重见,112
世事,112
初度,112
江上,111
自古,111
银烛,111
极目,111
韶华,111
百花,111
屏山,110
游人,110
新来,110
春愁,110
依稀,110
尘埃,110
袅袅,110
零乱,109
小院,109
屈指,109
此意,109
南楼,109
天公,109
谪仙,109
花间,108
一梦,108
第一,107
朱户,107
梦断,107
清夜,107
长江,107
不住,107
颜色,107
春去,107
犹记,107
底事,107
离别,106
帘卷,106
晓来,106
繁华,106
离恨,106
无际,106
云雨,106
三年,106
红妆,106
风前,106
水云,105
风景,105
眼前,105
青楼,105
山色,105
老来,105
一段,105
欢娱,104
晚风,104
金缕,104
乘兴,104
关山,104
绿窗,104
门前,103
王孙,103
踪迹,103
仙子,103
安排,103
杜鹃,103
杯酒,102
惊起,102
寻常,102
陌上,102
翠袖,102
儿女,102
岁寒,102
断魂,101
伤心,101
山川,101
著意,101
儿童,101
陈迹,101
事业,101
尘土,100
别有,100
孤负,100
红叶,100
江梅,100
想见,100
风韵,99
有意,99
沈醉,99
千万,99
天下,99
锦绣,99
花底,99
不似,99
未了,99
尽日,98
长是,98
满城,98
烦恼,98
相望,98
无定,98
疑是,98
千秋,98
不肯,97
香风,97
轻寒,97
登高,97
轻盈,97
题诗,97
游戏,97
醉倒,97
收拾,97
良辰,96
孤山,96
流莺,96
踏青,96
相看,96
记取,96
新诗,96
双双,96
淡月,96
来往,96
太守,96
云山,96
迟迟,95
罗绮,95
旧事,95
从前,95
朦胧,95
向晚,95
勋业,95
光景,95
吹箫,95
销魂,94
临水,94
烟树,94
迤逦,94
满院,94
人情,94
小春,94
从教,94
广寒宫,94
临风,93
纱窗,93
此恨,93
佳节,93
金莲,93
好处,93
西山,92
须信,92
工夫,92
不忍,92
争似,92
便是,92
烟霞,92
夜阑,92
游丝,92
香雾,92
纤纤,92
冰雪,92
寿阳,91
菊花,91
皓月,91
纤手,91
怎生,91
残照,91
红袖,91
正好,91
画角,91
东山,91
画船,91
楼前,91
一半,91
五更,91
修竹,91
南极,91
生涯,91
玉堂,91
春水,90
故国,90
人静,90
卷帘,90
小桥,90
娉婷,90
留住,89
好景,89
如水,89
绮罗,89
莺花,89
一任,89
元宵,88
岁月,88
相识,88
杜宇,88
琉璃,88
自然,88
亭亭,88
况是,88
醉眼,88
幽梦,88
不解,88
花落,87
多谢,87
疏雨,87
休问,87
不语,87
不觉,87
天寒,87
起舞,87
西窗,87
清浅,86
升平,86
天外,86
浮生,86
银屏,86
仙翁,86
忘却,86
柳丝,85
菱花,85
彩云,85
江天,85
婆娑,85
知音,85
酒杯,85
泪痕,85
新绿,85
朝来,85
莺啼,85
知否,85
胸中,85
冰轮,85
信道,84
几点,84
别后,84
早晚,83
千金,83
危楼,83
细看,83
帘外,83
无尘,83
窗外,83
凝望,83
寒梅,83
寄语,83
风度,83
寂寂,83
客里,83
长啸,82
好事,82
堂上,82
影里,82
人去,82
华堂,82
中兴,82
翩翩,81
红楼,81
寻思,81
衰草,81
黄鹂,81
满目,81
云鬟,81
夜雨,81
高处,81
莫惜,81
生怕,81
阳台,81
青云,81
冰壶,81
封侯,81
一缕,80
离情,80
终日,80
双燕,80
几日,80
阳春,80
前村,80
玉树,80
金杯,80
汀洲,79
腰肢,79
欢笑,79
江城,79
日长,79
随风,79
中原,79
小雨,79
双鬓,79
残月,78
当初,78
箫声,78
断桥,78
图画,78
奇绝,78
千山,78
消瘦,78
嫦娥,78
无声,78
沈沈,77
黄菊,77
海上,77
言语,77
眉峰,77
准拟,77
细细,77
一生,77
春心,77
看花,77
留不住,77
洞庭,77
遥想,77
天香,77
自笑,77
身世,77
貂蝉,77
泪眼,76
愁肠,76
江水,76
无计,76
滋味,76
粉面,76
雨过,76
鹦鹉,76
管弦,76
红粉,76
留取,76
尊酒,76
经纶,76
一朵,76
连天,76
竹外,76
清泪,76
斜日,75
河汉,75
天边,75
清晓,75
明珠,75
浑似,75
高歌,75
飞鸿,75
天意,75
初试,75
仙人,75
归时,75
蔷薇,75
万点,75
清绝,75
湖上,74
寻芳,74
西东,74
良宵,74
花柳,74
独步,74
痛饮,74
金钗,74
丁宁,74
东南,74
窗前,74
恼人,74
莫问,74
造化,74
群芳,74
旌旗,74
仙家,74
向来,74
衮衮,74
韶光,73
晴空,73
诗人,73
凌波,73
宛转,73
数点,73
数枝,73
玉人,73
小小,73
开遍,73
山河,73
车马,73
蝴蝶,73
倦客,73
千顷,73
儿孙,73
标格,72
红日,72
三五,72
此去,72
云间,72
回廊,72
最苦,72
一枕,72
同心,72
无聊,72
枕上,72
彩衣,72
相与,72
画图,72
柳絮,72
化工,72
不许,72
两鬓,72
青天,72
天教,72
何用,72
栏干,72
寿星,72
蟾宫,71
时时,71
耿耿,71
淡淡,71
声声,71
柳阴,71
有情,71
犹有,71
不负,71
春归,71
翡翠,71
四海,71
诗书,71
湖光,70
嬉游,70
秋光,70
行客,70
画桥,70
芳意,70
长年,70
祝寿,70
几年,70
横笛,70
公子,70
兴亡,70
莺语,69
芦花,69
三弄,69
摇落,69
星星,69
一日,69
巷陌,69
老人,69
朱门,69
衰翁,69
窗纱,69
白头,69
长记,69
灯前,69
盛事,69
春事,69
一寸,68
尘世,68
夜夜,68
悄悄,68
真珠,68
伫立,68
香罗,68
眉黛,68
认得,68
消魂,68
百尺,68
只愁,68
飞过,68
应有,68
借问,68
倚遍,68
俯仰,68
茱萸,68
凭栏,68
点缀,68
丹桂,68
武陵,68
玻璃,68
古来,68
搔首,68
飘然,68
一川,68
倚楼,67
多病,67
星斗,67
阆苑,67
小园,67
萧索,67
灯花,67
香雪,67
潋滟,67
占断,67
香浓,67
莫道,67
一种,67
晚来,67
湖山,67
蛾眉,67
楼头,67
一春,67
铅华,67
雪里,67
因缘,67
宇宙,67
山林,67
清秋,66
浮动,66
聚散,66
人心,66
两行,66
玉楼,66
流光,66
最是,66
风烟,66
结子,66
清影,66
春草,66
夜半,66
芭蕉,66
留客,66
问讯,66
浩荡,66
自是,65
悲秋,65
经年,65
随分,65
秀色,65
啼鸟,65
却是,65
绿野,65
淡烟,65
相遇,65
头上,65
未必,65
飘飘,65
蓝桥,65
桃源,65
云鬓,65
月明,65
柳外,65
素娥,65
父老,65
清瘦,64
锦字,64
玉肌,64
一一,64
须知,64
温柔,64
目送,64
相伴,64
霏霏,64
梅子,64
阴阴,64
莫教,64
春到,64
十载,64
千丈,64
古人,64
琼楼,63
归心,63
清闲,63
得意,63
觉来,63
此生,63
春晚,63
金屋,63
开时,63
宫殿,63
三十六,63
貂裘,63
春酒,63
巫山,63
团扇,63
佳处,63
犹带,63
春雨,63
片片,62
攀折,62
飞雪,62
樱桃,62
深意,62
依前,62
未知,62
相随,62
仿佛,62
风物,62
江东,62
为君,62
笙箫,62
雨声,62
沧浪,62
谁识,62
相映,62
一双,62
历历,62
平分,62
成行,61
天真,61
洞天,61
疏狂,61
闲情,61
烟草,61
倾城,61
溪边,61
生香,61
江北,61
同醉,61
梢头,61
乱山,61
更好,61
水晶,61
子规,61
蓬壶,61
乘风,61
草木,61
濛濛,60
幸有,60
伴侣,60
幽恨,60
秦楼,60
遗恨,60
关河,60
一霎,60
似旧,60
薄幸,60
西子,60
池馆,60
榴花,60
春衫,60
撩乱,60
断送,60
绰约,60
心期,60
姑射,60
入梦,60
空山,60
甲子,60
未归,59
楼阁,59
荷香,59
两岸,59
明灭,59
银汉,59
空有,59
可堪,59
须臾,59
音信,59
休休,59
登楼,59
横波,59
泪珠,59
红药,59
月影,59
丹砂,59
长庚,59
尘寰,59
清溪,59
四时,59
芝兰,59
高卧,59
且莫,58
此事,58
如画,58
一轮,58
愁绪,58
凉生,58
长久,58
马蹄,58
阴晴,58
桥边,58
情味,58
关心,58
此身,58
梦中,58
不减,58
藕花,58
知是,58
江海,58
山阴,58
整顿,57
端的,57
方寸,57
万古,57
肌肤,57
纵横,57
